#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count
1,claim,7017666017,0.9818181818181818,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,0.3433456991769329,0.062392825066016344,0.0053104170109623755,0.0003472071524673408,0.0
2,claim,4014381136,0.49090909090909085,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,0.1408855997767547,0.2484631651470628,0.4194127692392442,0.4031075040145827,0.9389155799588195
3,claim,9859838091,0.47272727272727266,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,0.902348176679866,0.3137788973332889,0.06297581666942104,0.2892235580052949,0.45161290322580644
4,claim,1866847991,0.36363636363636365,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,0.4375748276900211,0.7707288517833146,0.7670798215171046,0.42845362614469856,0.8016472203157172
5,claim,7105231098,0.2545454545454545,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,0.05615840015523151,0.11237774880744988,0.09056354321599736,0.18992231239963542,0.20864790665751543
6,claim,8972200955,0.5454545454545454,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,0.3366953491558786,0.5638512673893903,1.0,1.0,1.0
7,claim,4958886992,0.19999999999999998,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,0.750477346901421,1.0,1.0,1.0,1.0
8,claim,2270982263,0.6545454545454544,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,0.5476231675030031,0.0034432488273240425,0.0011017462678345178,0.007638557354281498,0.015099519560741249
9,claim,5235769692,0.8181818181818181,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,0.02480403521914949,0.03263377619926518,0.023136671624524874,0.018401979080769064,0.03706245710363761
10,claim,4660861094,0.7272727272727272,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,0.9317561464977391,0.5494133910098925,1.0,1.0,1.0
11,claim,8095102436,0.7636363636363636,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,0.6957622397346661,0.7645489910148711,0.508169448575993,0.5968490950913589,0.5188743994509265
12,claim,4507218541,0.4545454545454545,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,0.4821238711458426,0.539957304678137,0.42910813639618794,1.0,0.730267673301304
13,claim,3609761483,0.8363636363636363,someone shared with me that the longest recorded cricket match lasted 14 days,not verified,active,0.7002031412376712,1.0,1.0,0.8360748231413567,1.0
14,claim,3850678773,0.2727272727272727,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",not verified,under review,0.9298537603133437,1.0,1.0,0.4253287617724925,1.0
15,claim,1656032315,0.6727272727272726,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,not verified,active,0.9374012924623699,0.7622620570922454,1.0,0.6482357536565253,1.0
16,claim,9277685719,0.09090909090909091,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",not verified,active,0.746317502452998,0.000619913268352183,0.0006390128353440203,0.0006944143049346816,0.0
17,claim,9346511024,0.10909090909090907,someone shared with me that a dog’s sense of smell is much more powerful than a human's,not verified,active,0.923174404404094,0.2174964096020711,0.39023852806698617,0.29339004383490297,0.7357584076870282
18,claim,9533847147,0.4,"someone shared with me that a common garden snail has over 12,000 teeth",not verified,active,0.4677769587226207,0.12987664769855192,0.06178593070015975,0.1718675404713337,0.4488675360329444
19,claim,2359906270,0.10909090909090907,someone shared with me that we only see the same side of the moon,not verified,active,0.16860822747017645,0.3380454504027228,0.8357626838539085,0.5982379237012282,0.9526424159231297
20,claim,7146819625,0.5272727272727272,someone shared with me that the moon was once part of the earth,not verified,active,0.24996574304583832,0.06564335474255732,0.04935823279898639,0.07360791632307626,0.09608785175017158
21,claim,3827012052,0.4,someone shared with me that neptune radiates more heat than it gets from the sun,not verified,active,0.5503507211964028,0.09805550391842198,0.14772213959125213,0.08957944533657393,0.12079615648592999
22,claim,6940114042,0.2727272727272727,someone shared with me that there are more stars in the universe than grains of sand on earth,not verified,active,0.5110727477677969,0.5223074424522548,0.5893240786646835,0.8704483312356235,1.0
23,claim,7986031283,0.8545454545454545,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",not verified,banned,0.06008819790417455,0.10999445530943268,0.24998622817165206,0.07603836639034764,0.10569663692518874
24,claim,5733649579,0.8909090909090909,"someone shared with me that through the seasons, a reindeer’s eyes will change color",not verified,active,0.7510744681170278,0.4376394955415629,0.5975651407480858,0.9155852610563777,1.0
25,claim,2736327047,0.6181818181818182,someone shared with me that elephants will console each other during stressful situations,not verified,active,0.3537738160846652,0.12797836406333876,0.229141188784223,0.06284449459658868,0.07412491420727522
26,claim,6792082620,0.509090909090909,someone shared with me that avocados never ripen while they are still attached to the tree,not verified,active,0.5061437471806777,0.9255337216356556,0.8670963477111221,0.8350332016839547,1.0
27,claim,2385469584,0.09090909090909091,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,under review,0.0508823291128099,0.025618799110761717,0.06396738831047209,0.0434008940584176,0.10706932052161976
28,claim,6569363811,0.3090909090909091,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,0.8122008767779859,1.0,0.0774527626287666,1.0,1.0
29,claim,6301836558,0.2909090909090909,someone shared with me that people don’t sneeze in their sleep,not verified,active,0.6779726284435741,1.0,1.0,1.0,1.0
30,claim,6854087993,0.7818181818181817,"someone shared with me that at birth, baby pandas are smaller than mice",not verified,active,0.07431808657157403,0.06725898362328867,0.08104445546190713,0.09513475977605139,0.08647906657515442
31,claim,7568304116,0.9090909090909091,someone shared with me that the microwave oven was an accidental invention,not verified,active,0.5736144437320776,1.0,1.0,1.0,1.0
32,claim,7730527836,0.2909090909090909,someone shared with me that a blue whale's heartbeat can be heard from two miles away,not verified,banned,0.37669346877416116,0.7281571913753362,1.0,0.7152467340827221,0.38160603980782426
33,claim,8304906458,0.32727272727272727,someone shared with me that the longest location name on the planet earth is 85 letters in english.,not verified,active,0.782093765034302,1.0,1.0,1.0,1.0
34,claim,7723647550,0.509090909090909,someone shared with me that the red-billed quelea is the most common bird on earth,not verified,active,0.8229420572376193,1.0,1.0,1.0,1.0
35,claim,1260034177,0.09090909090909091,"someone shared with me that in japan, its considered good luck when a sumo wrestler makes your baby cry",not verified,active,0.41881501944894817,0.42926584844003884,0.6130336583484823,0.8287834729395426,0.28277282086479066
36,claim,5407291277,0.12727272727272726,someone shared with me that bubble wrap was originally designed to be used as wallpaper,not verified,active,0.5359137904994714,0.2349792485639412,0.03618134743568556,0.5461568508311271,0.13315030885380919
37,claim,6844920875,0.4363636363636363,someone shared with me that humans have jumped further than horses in the olympics,not verified,active,0.9244296592208219,1.0,0.8345507629592905,1.0,0.8716540837336993
38,claim,9171709060,0.4545454545454545,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,active,0.4893463373064732,0.3548473483651594,0.39466754806368093,0.897530489128076,0.12354152367879204
39,claim,2310167046,0.2727272727272727,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,active,0.8795265438884093,1.0,1.0,1.0,1.0
40,claim,4040057402,0.2727272727272727,someone shared with me that the eye of an ostrich is bigger than its brain,not verified,active,0.13568954497763047,0.16342905184988302,0.1699553792761527,0.3277635519291697,0.4447494852436513
41,claim,7334026327,0.36363636363636365,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,not verified,under review,0.289973864694533,0.011190558688803138,0.024062138489505867,0.006944143049346816,0.004118050789293068
42,claim,5280794672,0.5272727272727272,someone shared with me that buttermilk does not contain any butter,not verified,active,0.9041045332202438,1.0,0.7149451881231752,1.0,1.0
43,claim,2869029922,0.7454545454545454,someone shared with me that one strand of hair can hold up to 3 ounces of weight,not verified,active,0.7044430019293917,0.51985990923731,0.4251418498319837,1.0,0.7769389155799588
44,claim,1421558858,0.0,someone shared with me that bottled water has an expiration date,not verified,under review,0.6095567400182237,0.8438464975904084,1.0,0.28679310793802354,0.13589567604667124
45,claim,4477338445,0.47272727272727266,someone shared with me that driving south from detroit will lead to canada,not verified,active,0.7905124740322286,0.07730286336493258,0.0918195339613287,0.15068790417082592,0.3239533287577213
46,claim,4479658983,0.5272727272727272,someone shared with me that sea otters are born unable to swim,not verified,under review,0.7505013517744102,0.8707725749406485,1.0,0.5145609999565991,0.5847632120796157
47,claim,9398305380,0.21818181818181817,someone shared with me that apple seeds contain cyanide,not verified,under review,0.6306640247970338,0.21646857413122808,0.3554233460034154,0.415606961503407,0.9883321894303363
48,claim,2584492620,0.8545454545454545,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,active,0.8532572112138764,0.14643122275081694,0.35859637525477883,0.26318302157024437,0.2237474262182567
49,claim,6528249616,0.23636363636363636,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,not verified,active,0.6362261539092436,1.0,0.2789401200903432,0.03645675100907079,0.08922443376801648
50,claim,6798355648,0.5636363636363636,someone shared with me that the largest living thing on earth is a tree,not verified,active,0.6584626679215881,0.7426882153443791,1.0,1.0,1.0
51,claim,9161593537,0.21818181818181817,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,not verified,active,0.4724519077372707,0.674773986608428,0.8187076516278301,1.0,1.0
52,claim,1291361813,0.8727272727272727,someone shared with me that the town of calama in chile has never experienced rain,not verified,active,0.9849729495087504,1.0,0.3377733707927064,0.18089492643548458,0.04118050789293068
53,claim,6346301856,0.6363636363636364,a friend shared with a friend that yellowstone national park is home to a supervolcano,not verified,active,0.301790263423475,0.086874581187158,0.03402192475072991,0.0798576450674884,0.024708304735758406
54,claim,8355089614,0.8909090909090909,a friend shared with a friend that the largest rock on earth is in australia,not verified,active,0.9715342214469538,0.3570571946274719,0.2903762463504655,0.8117703224686429,1.0
55,claim,1767010474,0.4363636363636363,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,not verified,active,0.30256642098345965,0.07624612002147213,0.014829504765052608,0.10902304587474501,0.16197666437886066
56,claim,6315458270,0.6181818181818182,a friend shared with a friend that windshield wipers were invented in 1905,not verified,active,0.5781613667574518,0.8660027759587677,1.0,1.0,1.0
57,claim,5775227146,0.36363636363636365,a friend shared with a friend that the origins of the banjo instrument begin in africa,not verified,active,0.20560573796480688,0.15820636286366205,0.11176114140913347,0.4117876828262662,0.306108442004118
